Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Alabama,2019,1,01/05/2019,1076,992,30,198,22,60,21,63,14,21,27,260,53,0,0,,,,,,,,,,,,,,,
Alabama,2019,2,01/12/2019,1090,994,25,187,24,49,18,85,21,13,11,275,65,0,0,,,,,,,,,,,,,,,
Alabama,2019,3,01/19/2019,1114,1042,22,238,18,48,31,80,30,25,15,283,53,0,0,,,,,,,,,,,,,,,
Alabama,2019,4,01/26/2019,1063,994,21,165,22,50,22,113,14,25,23,279,56,0,0,,,,,,,,,,,,,,,
Alabama,2019,5,02/02/2019,1095,1025,18,199,19,52,19,80,20,24,21,290,49,0,0,,,,,,,,,,,,,,,
Alabama,2019,6,02/09/2019,1092,1005,18,182,25,56,28,76,27,22,28,278,59,0,0,,,,,,,,,,,,,,,
Alabama,2019,7,02/16/2019,1103,1017,27,214,25,51,27,78,17,22,20,262,56,0,0,,,,,,,,,,,,,,,
Alabama,2019,8,02/23/2019,1064,992,16,183,22,52,17,70,23,26,20,273,52,0,0,,,,,,,,,,,,,,,
Alabama,2019,9,03/02/2019,1050,966,25,164,30,52,28,65,11,23,15,283,56,0,0,,,,,,,,,,,,,,,
Alabama,2019,10,03/09/2019,1062,964,18,189,27,50,19,81,12,19,17,260,63,0,0,,,,,,,,,,,,,,,
Alabama,2019,11,03/16/2019,1090,1015,21,216,24,60,26,71,22,25,22,278,57,0,0,,,,,,,,,,,,,,,
Alabama,2019,12,03/23/2019,1012,938,21,176,23,48,22,70,15,24,22,259,62,0,0,,,,,,,,,,,,,,,
Alabama,2019,13,03/30/2019,1079,999,23,202,20,52,20,59,12,15,22,281,67,0,0,,,,,,,,,,,,,,,
Alabama,2019,14,04/06/2019,1044,961,12,202,20,43,18,77,22,15,22,248,64,0,0,,,,,,,,,,,,,,,
Alabama,2019,15,04/13/2019,1031,932,22,174,29,46,21,74,16,15,26,267,51,0,0,,,,,,,,,,,,,,,
Alabama,2019,16,04/20/2019,954,896,21,163,24,50,19,62,16,20,18,256,59,0,0,,,,,,,,,,,,,,,
Alabama,2019,17,04/27/2019,1042,982,21,215,28,39,19,77,20,23,18,259,59,0,0,,,,,,,,,,,,,,,
Alabama,2019,18,05/04/2019,1031,942,14,204,20,47,21,60,16,16,16,257,54,0,0,,,,,,,,,,,,,,,
Alabama,2019,19,05/11/2019,1009,920,15,217,21,48,18,67,12,19,21,240,55,0,0,,,,,,,,,,,,,,,
Alabama,2019,20,05/18/2019,996,907,17,191,20,51,19,54,22,12,21,250,54,0,0,,,,,,,,,,,,,,,
Alabama,2019,21,05/25/2019,974,917,14,193,27,45,21,79,,18,20,266,64,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2019,22,06/01/2019,1027,928,21,194,17,56,18,76,,18,18,255,64,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2019,23,06/08/2019,1029,924,15,222,17,55,11,62,17,16,21,246,56,0,0,,,,,,,,,,,,,,,
Alabama,2019,24,06/15/2019,986,896,23,180,25,43,23,64,17,16,13,238,57,0,0,,,,,,,,,,,,,,,
Alabama,2019,25,06/22/2019,989,904,19,190,20,45,20,52,18,23,14,244,61,0,0,,,,,,,,,,,,,,,
Alabama,2019,26,06/29/2019,940,873,31,185,23,49,17,71,18,13,,240,44,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
Alabama,2019,27,07/06/2019,1028,926,22,182,22,48,10,53,15,21,21,277,60,0,0,,,,,,,,,,,,,,,
Alabama,2019,28,07/13/2019,1017,944,19,215,28,58,11,49,17,19,14,255,52,0,0,,,,,,,,,,,,,,,
Alabama,2019,29,07/20/2019,962,871,19,195,29,40,15,68,21,15,16,239,49,0,0,,,,,,,,,,,,,,,
Alabama,2019,30,07/27/2019,980,895,19,186,21,49,12,45,18,22,18,258,60,0,0,,,,,,,,,,,,,,,
Alabama,2019,31,08/03/2019,984,907,12,184,18,67,19,48,13,19,27,262,60,0,0,,,,,,,,,,,,,,,
Alabama,2019,32,08/10/2019,997,923,17,196,27,48,12,59,14,16,25,251,63,0,0,,,,,,,,,,,,,,,
Alabama,2019,33,08/17/2019,977,903,21,188,31,42,15,57,14,18,18,245,54,0,0,,,,,,,,,,,,,,,
Alabama,2019,34,08/24/2019,939,869,17,189,16,52,19,62,14,,19,245,53,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
Alabama,2019,35,08/31/2019,974,893,18,191,20,56,18,69,15,10,20,211,56,0,0,,,,,,,,,,,,,,,
Alabama,2019,36,09/07/2019,1009,924,13,188,17,46,16,78,23,21,12,249,52,0,0,,,,,,,,,,,,,,,
Alabama,2019,37,09/14/2019,1000,926,21,201,22,35,21,59,21,11,21,229,69,0,0,,,,,,,,,,,,,,,
Alabama,2019,38,09/21/2019,883,801,19,173,25,53,13,50,14,23,19,213,41,0,0,,,,,,,,,,,,,,,
Alabama,2019,39,09/28/2019,987,905,22,194,13,38,19,57,12,18,16,244,61,0,0,,,,,,,,,,,,,,,
Alabama,2019,40,10/05/2019,958,870,14,189,16,45,10,67,14,25,17,232,59,0,0,,,,,,,,,,,,,,,
Alabama,2019,41,10/12/2019,907,829,16,187,21,44,,46,28,12,15,209,54,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
Alabama,2019,42,10/19/2019,1009,934,21,192,20,49,16,65,28,18,17,238,86,0,0,,,,,,,,,,,,,,,
Alabama,2019,43,10/26/2019,978,883,21,191,18,42,18,54,16,16,16,270,63,0,0,,,,,,,,,,,,,,,
Alabama,2019,44,11/02/2019,937,859,16,198,17,51,18,53,10,20,17,213,54,0,0,,,,,,,,,,,,,,,
Alabama,2019,45,11/09/2019,1041,964,16,202,22,54,10,73,17,15,27,280,64,0,0,,,,,,,,,,,,,,,
Alabama,2019,46,11/16/2019,1070,1000,20,182,29,61,22,71,12,27,22,303,52,0,0,,,,,,,,,,,,,,,
Alabama,2019,47,11/23/2019,1042,976,22,194,29,46,19,62,19,16,17,251,65,0,0,,,,,,,,,,,,,,,
Alabama,2019,48,11/30/2019,1038,949,20,188,23,50,27,59,22,22,19,241,61,0,0,,,,,,,,,,,,,,,
Alabama,2019,49,12/07/2019,1072,998,29,180,28,62,20,76,18,22,15,265,60,0,0,,,,,,,,,,,,,,,
Alabama,2019,50,12/14/2019,1081,997,19,202,26,52,25,76,20,25,18,252,66,0,0,,,,,,,,,,,,,,,
Alabama,2019,51,12/21/2019,1103,1018,22,204,33,70,19,81,24,20,24,251,68,0,0,,,,,,,,,,,,,,,
Alabama,2019,52,12/28/2019,1034,948,17,194,33,53,15,55,22,21,20,256,49,0,0,,,,,,,,,,,,,,,
Alabama,2020,1,01/04/2020,1075,1003,15,196,25,54,28,85,13,25,26,265,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,01/11/2020,1122,1059,25,196,17,41,27,72,20,23,36,273,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,01/18/2020,1033,974,28,200,23,53,31,73,21,23,27,238,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,01/25/2020,1045,977,15,189,22,54,29,61,11,14,32,282,70,0,0,,,,,,,,,,,,,,,
Alabama,2020,5,02/01/2020,1017,945,15,155,16,58,30,76,17,20,26,262,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,02/08/2020,1105,1018,26,191,23,45,28,70,20,24,34,295,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,02/15/2020,1077,1011,17,192,24,50,35,73,23,17,33,249,79,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,02/22/2020,1073,1009,17,219,25,46,23,65,12,12,27,279,73,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,02/29/2020,1141,1087,21,212,27,61,31,87,20,20,33,287,59,0,0,,,,,,,,,,,,,,,
Alabama,2020,10,03/07/2020,1028,954,17,141,21,65,34,59,24,23,48,258,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,03/14/2020,1046,984,16,198,27,64,30,74,26,27,31,250,65,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,03/21/2020,1027,965,15,222,24,45,27,65,24,22,31,247,70,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,03/28/2020,1017,960,14,184,20,64,26,71,21,15,45,224,65,15,15,,,,,,,,,,,,,,,
Alabama,2020,14,04/04/2020,1089,1029,27,195,30,71,23,64,23,22,32,241,61,42,40,,,,,,,,,,,,,,,
Alabama,2020,15,04/11/2020,1052,989,23,159,29,62,16,56,18,18,34,244,60,68,67,,,,,,,,,,,,,,,
Alabama,2020,16,04/18/2020,977,928,18,167,24,56,18,62,21,17,25,216,59,70,67,,,,,,,,,,,,,,,
Alabama,2020,17,04/25/2020,834,793,15,163,13,43,19,44,15,12,25,196,49,37,36,,,,,,,,,,,,,,,
Alabama,2020,18,05/02/2020,637,616,,128,11,41,19,36,14,14,17,155,36,25,25,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,19,05/09/2020,210,207,,41,,10,,14,,,,64,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,20,05/16/2020,,,0,0,0,,0,0,0,0,0,0,0,0,0,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,,
Alaska,2019,1,01/05/2019,93,82,,19,,,0,,,,0,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,2,01/12/2019,87,72,,14,,,,,,0,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,3,01/19/2019,94,78,,16,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,4,01/26/2019,88,75,0,27,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2019,5,02/02/2019,99,73,,21,,,,,,0,,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,6,02/09/2019,96,88,,30,,,,,0,,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,7,02/16/2019,99,80,0,17,,,,,,,,18,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,8,02/23/2019,76,61,,19,,,,,0,,0,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,9,03/02/2019,94,77,,20,,0,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,10,03/09/2019,94,78,,25,,,,10,,,0,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,11,03/16/2019,100,81,,20,,,,,,0,,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,12,03/23/2019,71,63,,14,,,,,,,,10,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,13,03/30/2019,90,71,,24,,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,14,04/06/2019,90,61,0,15,,,0,,,,0,14,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,15,04/13/2019,81,72,,13,,,0,,0,,,13,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,16,04/20/2019,78,64,0,18,,,,,0,,0,13,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,17,04/27/2019,79,67,,15,,,,,0,,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,18,05/04/2019,100,82,,20,,,0,,0,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,19,05/11/2019,86,73,0,26,,,0,,,0,,14,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,20,05/18/2019,91,73,0,17,,,0,,0,,0,23,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,21,05/25/2019,82,63,,24,,,,,0,,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,22,06/01/2019,77,64,0,14,,,,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2019,23,06/08/2019,93,70,,18,,,0,,,,,12,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,24,06/15/2019,75,63,0,12,,,0,,,,,16,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,25,06/22/2019,97,83,,27,,,0,,0,,,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,26,06/29/2019,87,73,,13,,,0,,0,,,25,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,27,07/06/2019,81,71,,15,,,,,0,,,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,28,07/13/2019,91,71,,13,,,,,,0,0,21,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Alaska,2019,29,07/20/2019,74,60,,13,,,0,,0,,,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,30,07/27/2019,59,46,0,19,0,,,0,,0,0,12,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
Alaska,2019,31,08/03/2019,73,57,0,14,,,0,,0,,0,15,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,32,08/10/2019,86,71,0,20,0,,0,,,0,,,,0,0,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2019,33,08/17/2019,94,79,,25,,0,0,,,0,,26,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,34,08/24/2019,73,63,,14,,,,,,,0,16,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2019,35,08/31/2019,82,65,0,16,0,,0,,,,,15,,0,0,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2019,36,09/07/2019,71,63,,15,,,0,,,,0,11,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
