"","week_end_date","year","week","day","baseline_all_cause","baseline_all_cause_upper","baseline_all-cause_lower","all_cause_deaths","excess_all_cause_deaths","baseline_pi","baseline_pi_upper","baseline_pi_lower","pneumonia_influenza_covid","excess_pneumonia_influenza_covid","covid19.nchs"
"1",2015-10-10,2015,40,7,47274.5,48964,45651.975,48686,1411.5,3013,3307.025,2737.975,3072,59,NA
"2",2015-10-17,2015,41,7,47706,49380.05,46100.925,47649,-57,2958,3253,2686,2998,40,NA
"3",2015-10-24,2015,42,7,47762,49432,46146.925,48372,610,2990,3289,2719.975,3090,100,NA
"4",2015-10-31,2015,43,7,47981.5,49672.025,46357,48137,155.5,2977,3266.025,2702,3027,50,NA
"5",2015-11-07,2015,44,7,48237,49890.05,46596.975,48774,537,3020,3312,2746,3202,182,NA
"6",2015-11-14,2015,45,7,48717,50387.075,47082.875,48449,-268,3020,3312,2751,3075,55,NA
"7",2015-11-21,2015,46,7,48857,50570,47198,49054,197,3068,3359.025,2784,3193,125,NA
"8",2015-11-28,2015,47,7,49340,51076.025,47707,48891,-449,3100,3398,2818.975,3179,79,NA
"9",2015-12-05,2015,48,7,49683.5,51437.05,48020.975,49707,23.5,3199.5,3512.05,2910.975,3318,118.5,NA
"10",2015-12-12,2015,49,7,50110,51851,48366.95,51193,1083,3367,3691,3063,3371,4,NA
"11",2015-12-19,2015,50,7,51031.5,52783,49313.975,49620,-1411.5,3378,3707,3081.95,3343,-35,NA
"12",2015-12-26,2015,51,7,51289,53072.075,49535,50376,-913,3520,3856.025,3208,3334,-186,NA
"13",2016-01-02,2015,52,7,51680.5,53515.025,49901.975,50254,-1426.5,3621,3970,3296,3754,133,NA
"14",2016-01-09,2016,1,7,52140,53890.1,50310.8,53260,1120,3973,4347,3617,4035,62,NA
"15",2016-01-16,2016,2,7,52712.5,54510.15,50937.95,53080,367.5,4088,4470.025,3724.975,4070,-18,NA
"16",2016-01-23,2016,3,7,53070,54863.025,51309.95,52672,-398,4169.5,4559,3798,3886,-283.5,NA
"17",2016-01-30,2016,4,7,53334,55150.05,51564.95,53073,-261,4293,4701.025,3907,3925,-368,NA
"18",2016-02-06,2016,5,7,53544,55371,51773,52361,-1183,4311,4712,3922,3924,-387,NA
"19",2016-02-13,2016,6,7,53592,55467.225,51733.975,52660,-932,4370,4788,3981.975,3843,-527,NA
"20",2016-02-20,2016,7,7,53497,55367.025,51641.975,53326,-171,4425,4837,4028,3983,-442,NA
"21",2016-02-27,2016,8,7,53259,55121,51467.925,52517,-742,4327,4748,3941,4223,-104,NA
"22",2016-03-05,2016,9,7,52976,54848.025,51154.975,53296,320,4324,4744,3940,4292,-32,NA
"23",2016-03-12,2016,10,7,52614.5,54486.025,50825.975,53621,1006.5,4267,4682,3893.925,4353,86,NA
"24",2016-03-19,2016,11,7,51955,53757.025,50152.975,52197,242,4042,4428,3672.975,4299,257,NA
"25",2016-03-26,2016,12,7,51475,53246.15,49712.9,52177,702,3933,4302.025,3572,4232,299,NA
"26",2016-04-02,2016,13,7,50943,52715.025,49228.975,51502,559,3772,4137,3436,3987,215,NA
"27",2016-04-09,2016,14,7,50477,52235.05,48786.975,51718,1241,3693,4048.05,3360.975,4008,315,NA
"28",2016-04-16,2016,15,7,50163,51891.05,48508,51105,942,3570,3920,3254,3921,351,NA
"29",2016-04-23,2016,16,7,49923,51668,48280.975,50820,897,3484,3815.025,3171,3659,175,NA
"30",2016-04-30,2016,17,7,49612.5,51302.025,47972.95,48811,-801.5,3293,3616,2995.975,3341,48,NA
"31",2016-05-07,2016,18,7,49328,51019.1,47714.975,49018,-310,3256,3569.025,2957,3322,66,NA
"32",2016-05-14,2016,19,7,49065,50749.075,47449.975,48681,-384,3197,3498,2902,3151,-46,NA
"33",2016-05-21,2016,20,7,48907.5,50615,47274.95,48334,-573.5,3144,3446,2857,3164,20,NA
"34",2016-05-28,2016,21,7,48678,50332.025,47051.975,48294,-384,3112,3409.025,2833.975,3091,-21,NA
"35",2016-06-04,2016,22,7,48180.5,49851.025,46539.975,47473,-707.5,3018,3304,2747,2883,-135,NA
"36",2016-06-11,2016,23,7,48132,49820,46494.975,47713,-419,3017,3308,2742,3066,49,NA
"37",2016-06-18,2016,24,7,47528,49192.05,45938.975,47714,186,2966,3254,2688,2799,-167,NA
"38",2016-06-25,2016,25,7,47344,49028,45718,47463,119,2928,3220,2656,2744,-184,NA
"39",2016-07-02,2016,26,7,46857,48586.025,45197.95,47496,639,2888,3176.025,2618.975,2789,-99,NA
"40",2016-07-09,2016,27,7,47374,48971.075,45779,47538,164,2713,2983.025,2462.975,2784,71,NA
"41",2016-07-16,2016,28,7,47177,48795,45573.95,47412,235,2690,2959.025,2439,2795,105,NA
"42",2016-07-23,2016,29,7,47029.5,48702.05,45426.9,47144,114.5,2658,2924.025,2412.975,2626,-32,NA
"43",2016-07-30,2016,30,7,46837,48436,45240.95,47654,817,2668,2936.025,2425,2682,14,NA
"44",2016-08-06,2016,31,7,46995,48610,45387.975,47371,376,2672,2933,2424,2720,48,NA
"45",2016-08-13,2016,32,7,46924.5,48534.05,45349.975,47669,744.5,2692,2961,2442,2700,8,NA
"46",2016-08-20,2016,33,7,46833,48416,45250,47624,791,2686,2953,2432.975,2725,39,NA
"47",2016-08-27,2016,34,7,47584,49228.05,45957.975,47310,-274,2742,3011,2493.975,2707,-35,NA
"48",2016-09-03,2016,35,7,47916,49578.1,46277.95,47425,-491,2785,3059,2534,2729,-56,NA
"49",2016-09-10,2016,36,7,47875.5,49566.025,46269,47887,11.5,2816,3095,2559,2757,-59,NA
"50",2016-09-17,2016,37,7,48110,49733.025,46465.925,47825,-285,2836,3110.025,2583,2979,143,NA
"51",2016-09-24,2016,38,7,48497,50143,46832,47697,-800,2860,3134,2601,2878,18,NA
"52",2016-10-01,2016,39,7,48698,50393.05,47044.9,48030,-668,2890,3164,2633,2867,-23,NA
"53",2016-10-08,2016,40,7,48750,50436.025,47139.975,49131,381,2946.5,3229.025,2681.975,2908,-38.5,NA
"54",2016-10-15,2016,41,7,48789,50493.025,47118,49853,1064,2975.5,3259,2701,3059,83.5,NA
"55",2016-10-22,2016,42,7,49031,50718,47390.975,49132,101,2933,3218.025,2670.975,3043,110,NA
"56",2016-10-29,2016,43,7,49356.5,51019.025,47722.975,49568,211.5,2961,3243.025,2697,2993,32,NA
"57",2016-11-05,2016,44,7,49906,51591.025,48245.95,49356,-550,2979,3269,2712.975,2955,-24,NA
