"","week_end_date","year","week","day","baseline_all_cause","baseline_all_cause_upper","baseline_all-cause_lower","all_cause_deaths","excess_all_cause_deaths","baseline_pi","baseline_pi_upper","baseline_pi_lower","pneumonia_influenza_covid","excess_pneumonia_influenza_covid","nchs.covid.deaths"
"1",2015-10-10,2015,40,7,47380,49017,45790.975,48686,1306,3013,3311,2731,3072,59,NA
"2",2015-10-17,2015,41,7,47763.5,49412,46132,47649,-114.5,2960,3248,2696.975,2998,38,NA
"3",2015-10-24,2015,42,7,47850,49504.05,46204.95,48372,522,2992,3283,2724,3090,98,NA
"4",2015-10-31,2015,43,7,48080,49752.025,46446.975,48137,57,2983,3273,2712.975,3027,44,NA
"5",2015-11-07,2015,44,7,48320,49962.025,46685.875,48774,454,3027,3320,2752.975,3202,175,NA
"6",2015-11-14,2015,45,7,48769,50421.025,47109,48449,-320,3031,3320,2752,3075,44,NA
"7",2015-11-21,2015,46,7,48913,50603,47244,49054,141,3080,3372,2801,3193,113,NA
"8",2015-11-28,2015,47,7,49396.5,51083.025,47761.975,48891,-505.5,3116,3417,2835,3179,63,NA
"9",2015-12-05,2015,48,7,49729,51392,48047.975,49707,-22,3219,3529,2929,3318,99,NA
"10",2015-12-12,2015,49,7,50177,51921.1,48454.975,51193,1016,3385,3711,3076,3371,-14,NA
"11",2015-12-19,2015,50,7,51034,52739,49326.975,49620,-1414,3402,3725,3102,3343,-59,NA
"12",2015-12-26,2015,51,7,51314,53138.1,49612.975,50376,-938,3535.5,3872,3218,3334,-201.5,NA
"13",2016-01-02,2015,52,7,51733,53526.025,49957.875,50254,-1479,3623,3969,3301,3754,131,NA
"14",2016-01-09,2016,1,7,52184,53995.1,50431.95,53260,1076,3961,4342,3604.975,4035,74,NA
"15",2016-01-16,2016,2,7,52787,54590.025,51011.975,53080,293,4085,4472,3719,4070,-15,NA
"16",2016-01-23,2016,3,7,53136,54954.05,51337.775,52672,-464,4160,4555.025,3798.975,3886,-274,NA
"17",2016-01-30,2016,4,7,53394.5,55214.025,51601,53073,-321.5,4276,4674,3896,3925,-351,NA
"18",2016-02-06,2016,5,7,53606,55376.05,51777,52361,-1245,4294,4692.025,3911.975,3924,-370,NA
"19",2016-02-13,2016,6,7,53624,55489.05,51828.975,52660,-964,4350,4752,3958.975,3843,-507,NA
"20",2016-02-20,2016,7,7,53512,55335,51733.975,53326,-186,4406,4818,4017.975,3983,-423,NA
"21",2016-02-27,2016,8,7,53293,55140.15,51442.975,52517,-776,4309,4721,3918,4223,-86,NA
"22",2016-03-05,2016,9,7,52967,54810.025,51181,53296,329,4310,4726,3928,4292,-18,NA
"23",2016-03-12,2016,10,7,52589,54439.075,50783,53621,1032,4255,4664.05,3867.975,4353,98,NA
"24",2016-03-19,2016,11,7,51950.5,53747.05,50210.975,52197,246.5,4037,4421.025,3675.975,4299,262,NA
"25",2016-03-26,2016,12,7,51428,53208.025,49703.975,52177,749,3925,4297.025,3581,4232,307,NA
"26",2016-04-02,2016,13,7,50884,52662.05,49218,51502,618,3774,4128,3431,3987,213,NA
"27",2016-04-09,2016,14,7,50445,52176.025,48778.975,51718,1273,3698,4043.025,3370,4008,310,NA
"28",2016-04-16,2016,15,7,50114,51829.025,48478.925,51105,991,3574,3907,3250.975,3921,347,NA
