"","mmwr_year","mmwr_week","mmwr_day","week_end","pred","upi","lpi","obs","unexplained.cases"
"1",2015,40,7,2015-10-10,3013,3307.025,2737.975,3072,59
"2",2015,41,7,2015-10-17,2958,3253,2686,2998,40
"3",2015,42,7,2015-10-24,2990,3289,2719.975,3090,100
"4",2015,43,7,2015-10-31,2977,3266.025,2702,3027,50
"5",2015,44,7,2015-11-07,3020,3312,2746,3202,182
"6",2015,45,7,2015-11-14,3020,3312,2751,3075,55
"7",2015,46,7,2015-11-21,3068,3359.025,2784,3193,125
"8",2015,47,7,2015-11-28,3100,3398,2818.975,3179,79
"9",2015,48,7,2015-12-05,3199.5,3512.05,2910.975,3318,118.5
"10",2015,49,7,2015-12-12,3367,3691,3063,3371,4
"11",2015,50,7,2015-12-19,3378,3707,3081.95,3343,-35
"12",2015,51,7,2015-12-26,3520,3856.025,3208,3334,-186
"13",2015,52,7,2016-01-02,3621,3970,3296,3754,133
"14",2016,1,7,2016-01-09,3973,4347,3617,4035,62
"15",2016,2,7,2016-01-16,4088,4470.025,3724.975,4070,-18
"16",2016,3,7,2016-01-23,4169.5,4559,3798,3886,-283.5
"17",2016,4,7,2016-01-30,4293,4701.025,3907,3925,-368
"18",2016,5,7,2016-02-06,4311,4712,3922,3924,-387
"19",2016,6,7,2016-02-13,4370,4788,3981.975,3843,-527
"20",2016,7,7,2016-02-20,4425,4837,4028,3983,-442
"21",2016,8,7,2016-02-27,4327,4748,3941,4223,-104
"22",2016,9,7,2016-03-05,4324,4744,3940,4292,-32
"23",2016,10,7,2016-03-12,4267,4682,3893.925,4353,86
"24",2016,11,7,2016-03-19,4042,4428,3672.975,4299,257
"25",2016,12,7,2016-03-26,3933,4302.025,3572,4232,299
"26",2016,13,7,2016-04-02,3772,4137,3436,3987,215
"27",2016,14,7,2016-04-09,3693,4048.05,3360.975,4008,315
"28",2016,15,7,2016-04-16,3570,3920,3254,3921,351
"29",2016,16,7,2016-04-23,3484,3815.025,3171,3659,175
"30",2016,17,7,2016-04-30,3293,3616,2995.975,3341,48
"31",2016,18,7,2016-05-07,3256,3569.025,2957,3322,66
"32",2016,19,7,2016-05-14,3197,3498,2902,3151,-46
"33",2016,20,7,2016-05-21,3144,3446,2857,3164,20
"34",2016,21,7,2016-05-28,3112,3409.025,2833.975,3091,-21
"35",2016,22,7,2016-06-04,3018,3304,2747,2883,-135
"36",2016,23,7,2016-06-11,3017,3308,2742,3066,49
"37",2016,24,7,2016-06-18,2966,3254,2688,2799,-167
"38",2016,25,7,2016-06-25,2928,3220,2656,2744,-184
"39",2016,26,7,2016-07-02,2888,3176.025,2618.975,2789,-99
"40",2016,27,7,2016-07-09,2713,2983.025,2462.975,2784,71
"41",2016,28,7,2016-07-16,2690,2959.025,2439,2795,105
"42",2016,29,7,2016-07-23,2658,2924.025,2412.975,2626,-32
"43",2016,30,7,2016-07-30,2668,2936.025,2425,2682,14
"44",2016,31,7,2016-08-06,2672,2933,2424,2720,48
"45",2016,32,7,2016-08-13,2692,2961,2442,2700,8
"46",2016,33,7,2016-08-20,2686,2953,2432.975,2725,39
"47",2016,34,7,2016-08-27,2742,3011,2493.975,2707,-35
"48",2016,35,7,2016-09-03,2785,3059,2534,2729,-56
"49",2016,36,7,2016-09-10,2816,3095,2559,2757,-59
"50",2016,37,7,2016-09-17,2836,3110.025,2583,2979,143
"51",2016,38,7,2016-09-24,2860,3134,2601,2878,18
"52",2016,39,7,2016-10-01,2890,3164,2633,2867,-23
"53",2016,40,7,2016-10-08,2946.5,3229.025,2681.975,2908,-38.5
"54",2016,41,7,2016-10-15,2975.5,3259,2701,3059,83.5
"55",2016,42,7,2016-10-22,2933,3218.025,2670.975,3043,110
"56",2016,43,7,2016-10-29,2961,3243.025,2697,2993,32
"57",2016,44,7,2016-11-05,2979,3269,2712.975,2955,-24
"58",2016,45,7,2016-11-12,3045,3341,2772,3076,31
"59",2016,46,7,2016-11-19,3139,3437,2860,3034,-105
"60",2016,47,7,2016-11-26,3183,3478,2898.975,3099,-84
"61",2016,48,7,2016-12-03,3315,3632,3020,3367,52
"62",2016,49,7,2016-12-10,3448,3778.025,3148,3475,27
"63",2016,50,7,2016-12-17,3645,3992,3316,3663,18
"64",2016,51,7,2016-12-24,3873,4246.025,3527,3649,-224
"65",2016,52,7,2016-12-31,4082,4462,3714.975,4056,-26
"66",2017,1,7,2017-01-07,4354,4766.025,3967,4634,280
"67",2017,2,7,2017-01-14,4597,5020,4194,4648,51
"68",2017,3,7,2017-01-21,4602,5043,4195,4766,164
"69",2017,4,7,2017-01-28,4583,5014.025,4169,4573,-10
"70",2017,5,7,2017-02-04,4701,5148.025,4279,4585,-116
"71",2017,6,7,2017-02-11,4781,5233,4355,4636,-145
"72",2017,7,7,2017-02-18,4726,5187,4305,4733,7
"73",2017,8,7,2017-02-25,4648,5104.025,4240,4712,64
"74",2017,9,7,2017-03-04,4462,4883,4068.975,4544,82
"75",2017,10,7,2017-03-11,4380,4790.025,3993,4438,58
"76",2017,11,7,2017-03-18,4220,4613,3842,4243,23
"77",2017,12,7,2017-03-25,4139,4543.025,3765,4179,40
"78",2017,13,7,2017-04-01,3929.5,4304.025,3581,3990,60.5
"79",2017,14,7,2017-04-08,3779,4146.025,3437,3864,85
"80",2017,15,7,2017-04-15,3658,4011.025,3323.975,3803,145
"81",2017,16,7,2017-04-22,3443,3768,3134,3469,26
"82",2017,17,7,2017-04-29,3367,3686,3067,3367,0
"83",2017,18,7,2017-05-06,3275,3582,2976,3213,-62
"84",2017,19,7,2017-05-13,3194,3503,2909.975,3109,-85
"85",2017,20,7,2017-05-20,3184,3486.025,2903.975,3092,-92
"86",2017,21,7,2017-05-27,3065,3366,2785.975,2964,-101
"87",2017,22,7,2017-06-03,3064,3355,2785,2907,-157
"88",2017,23,7,2017-06-10,3030,3319,2762,3000,-30
"89",2017,24,7,2017-06-17,2973,3265,2698,2939,-34
"90",2017,25,7,2017-06-24,2956,3245,2693,2866,-90
"91",2017,26,7,2017-07-01,2895,3180,2634,2824,-71
"92",2017,27,7,2017-07-08,2754,3013.025,2500.975,2698,-56
"93",2017,28,7,2017-07-15,2686,2944,2441,2911,225
"94",2017,29,7,2017-07-22,2630,2891,2393.975,2644,14
"95",2017,30,7,2017-07-29,2581,2830,2345,2709,128
"96",2017,31,7,2017-08-05,2636,2893,2394,2576,-60
"97",2017,32,7,2017-08-12,2644,2899,2398,2623,-21
"98",2017,33,7,2017-08-19,2559,2819,2320,2585,26
"99",2017,34,7,2017-08-26,2554,2806,2319.975,2643,89
"100",2017,35,7,2017-09-02,2715,2982,2469,2603,-112
"101",2017,36,7,2017-09-09,2742,3003,2493,2708,-34
"102",2017,37,7,2017-09-16,2799,3070,2541,2882,83
"103",2017,38,7,2017-09-23,2749,3017,2500,2814,65
"104",2017,39,7,2017-09-30,2776,3043.025,2528,2769,-7
"105",2017,40,7,2017-10-07,2893,3172,2629,2903,10
"106",2017,41,7,2017-10-14,2846,3127,2588,2891,45
"107",2017,42,7,2017-10-21,2898,3177,2638.975,3059,161
"108",2017,43,7,2017-10-28,2965,3248,2691.975,3148,183
"109",2017,44,7,2017-11-04,3120,3421,2839.975,3101,-19
"110",2017,45,7,2017-11-11,3151,3453,2862,3081,-70
"111",2017,46,7,2017-11-18,3262,3576,2967,3206,-56
"112",2017,47,7,2017-11-25,3414,3745,3105,3109,-305
"113",2017,48,7,2017-12-02,3514,3852,3207,3413,-101
"114",2017,49,7,2017-12-09,3765,4116,3436,3482,-283
"115",2017,50,7,2017-12-16,4121,4508,3754,3748,-373
"116",2017,51,7,2017-12-23,4568,5003,4153,4170,-398
"117",2017,52,7,2017-12-30,4875,5338.025,4447.975,4872,-3
"118",2018,1,7,2018-01-06,5433,5950,4959,6061,628
"119",2018,2,7,2018-01-13,5722,6255.025,5219.95,6824,1102
"120",2018,3,7,2018-01-20,5627,6144.025,5121,6731,1104
"121",2018,4,7,2018-01-27,5568,6093,5078,6325,757
"122",2018,5,7,2018-02-03,5468,5991,4987.975,5919,451
"123",2018,6,7,2018-02-10,5504,6032,5020.975,5620,116
"124",2018,7,7,2018-02-17,5360,5872,4882.975,5472,112
"125",2018,8,7,2018-02-24,5067,5549,4632,5066,-1
"126",2018,9,7,2018-03-03,4809,5272,4372.975,4565,-244
"127",2018,10,7,2018-03-10,4659,5103,4247,4375,-284
"128",2018,11,7,2018-03-17,4497,4914,4096,4101,-396
"129",2018,12,7,2018-03-24,4333,4739.05,3945,3966,-367
"130",2018,13,7,2018-03-31,4153,4544.025,3779.975,3892,-261
"131",2018,14,7,2018-04-07,4014,4396,3647.975,3835,-179
"132",2018,15,7,2018-04-14,3869,4235.025,3528,3626,-243
"133",2018,16,7,2018-04-21,3662,4005.05,3334,3429,-233
"134",2018,17,7,2018-04-28,3530,3865,3212,3333,-197
"135",2018,18,7,2018-05-05,3407,3743,3102,3165,-242
"136",2018,19,7,2018-05-12,3167,3467,2881,2955,-212
"137",2018,20,7,2018-05-19,2964,3251.025,2702,2864,-100
"138",2018,21,7,2018-05-26,2880,3167,2614,2835,-45
"139",2018,22,7,2018-06-02,2757,3030,2502,2802,45
"140",2018,23,7,2018-06-09,2796.5,3073,2539,2778,-18.5
"141",2018,24,7,2018-06-16,2696,2965,2451,2791,95
"142",2018,25,7,2018-06-23,2602,2855.025,2362,2747,145
"143",2018,26,7,2018-06-30,2596,2852,2355,2735,139
"144",2018,27,7,2018-07-07,2671,2931,2425.975,2648,-23
"145",2018,28,7,2018-07-14,2618,2879,2376,2653,35
"146",2018,29,7,2018-07-21,2589,2842,2353,2588,-1
"147",2018,30,7,2018-07-28,2564,2817,2327,2604,40
"148",2018,31,7,2018-08-04,2568,2810,2334,2539,-29
"149",2018,32,7,2018-08-11,2592,2846.025,2360,2577,-15
"150",2018,33,7,2018-08-18,2543,2791,2305,2502,-41
"151",2018,34,7,2018-08-25,2614,2870,2374.975,2597,-17
"152",2018,35,7,2018-09-01,2647,2905,2409,2506,-141
"153",2018,36,7,2018-09-08,2660,2922,2418,2647,-13
"154",2018,37,7,2018-09-15,2723,2992.025,2474.975,2645,-78
"155",2018,38,7,2018-09-22,2763,3028,2515.975,2691,-72
"156",2018,39,7,2018-09-29,2731,2991,2474.975,2693,-38
"157",2018,40,7,2018-10-06,2827,3095,2564,2839,12
"158",2018,41,7,2018-10-13,2790,3061,2539,2756,-34
"159",2018,42,7,2018-10-20,2865,3137,2602.975,2861,-4
"160",2018,43,7,2018-10-27,2912,3192,2648.975,2974,62
"161",2018,44,7,2018-11-03,2903,3188,2640.975,2891,-12
"162",2018,45,7,2018-11-10,2932,3214.025,2662,2909,-23
"163",2018,46,7,2018-11-17,3019,3311,2743,3030,11
"164",2018,47,7,2018-11-24,3079,3368.025,2800,3073,-6
"165",2018,48,7,2018-12-01,3127,3430.025,2842.975,3186,59
"166",2018,49,7,2018-12-08,3281,3594,2983.975,3279,-2
"167",2018,50,7,2018-12-15,3435,3767,3134,3445,10
"168",2018,51,7,2018-12-22,3562,3911,3244.975,3411,-151
"169",2018,52,7,2018-12-29,3664,4016.025,3325.975,3617,-47
"170",2019,1,7,2019-01-05,3884,4256,3540,3973,89
"171",2019,2,7,2019-01-12,3997.5,4366,3646.975,4129,131.5
"172",2019,3,7,2019-01-19,4129,4510.075,3762,4180,51
"173",2019,4,7,2019-01-26,4200,4597,3824,3992,-208
"174",2019,5,7,2019-02-02,4297,4702.075,3916,4030,-267
"175",2019,6,7,2019-02-09,4354,4774,3965,4035,-319
"176",2019,7,7,2019-02-16,4319,4747,3934.975,4141,-178
"177",2019,8,7,2019-02-23,4285.5,4690,3895,4211,-74.5
"178",2019,9,7,2019-03-02,4233,4647,3854,4072,-161
"179",2019,10,7,2019-03-09,4197,4602,3824,4111,-86
"180",2019,11,7,2019-03-16,4059,4443,3695,4268,209
"181",2019,12,7,2019-03-23,3881,4254.05,3538,4095,214
"182",2019,13,7,2019-03-30,3741,4104,3405,3994,253
"183",2019,14,7,2019-04-06,3616,3960,3279.975,3801,185
"184",2019,15,7,2019-04-13,3437,3758.025,3129,3590,153
"185",2019,16,7,2019-04-20,3283,3594,2988,3442,159
"186",2019,17,7,2019-04-27,3143,3442,2863,3267,124
"187",2019,18,7,2019-05-04,3102,3394,2824.975,3151,49
"188",2019,19,7,2019-05-11,3030,3319.025,2758,3134,104
"189",2019,20,7,2019-05-18,3007,3299,2731,3062,55
"190",2019,21,7,2019-05-25,2991,3280.025,2721,3051,60
"191",2019,22,7,2019-06-01,2918,3196,2651,3001,83
"192",2019,23,7,2019-06-08,2915,3194,2653,2904,-11
"193",2019,24,7,2019-06-15,2853,3124.025,2587,2836,-17
"194",2019,25,7,2019-06-22,2797,3064,2542,2851,54
