"","variable","epiwk","Week","2016-2017","2017-2018","2018-2019","2019-2020"
"1","All.Deaths",1,27,49676,50943,51655,52332
"2","All.Deaths",2,28,49627,49958,51161,51919
"3","All.Deaths",3,29,49258,50099,50576,51624
"4","All.Deaths",4,30,49671,49284,50237,51626
"5","All.Deaths",5,31,49480,50022,50600,51371
"6","All.Deaths",6,32,49720,50221,50927,51659
"7","All.Deaths",7,33,49780,50169,50260,50945
"8","All.Deaths",8,34,49487,49498,50422,50979
"9","All.Deaths",9,35,49552,50807,50558,51123
"10","All.Deaths",10,36,50054,50962,50246,51784
"11","All.Deaths",11,37,49900,51670,51042,51567
"12","All.Deaths",12,38,49832,51211,51527,51692
"13","All.Deaths",13,39,50214,51322,50931,52702
"14","All.Deaths",14,40,51379,52082,52332,52482
"15","All.Deaths",15,41,52099,51546,51819,52898
"16","All.Deaths",16,42,51411,52189,52949,54169
"17","All.Deaths",17,43,51818,52529,53735,53944
"18","All.Deaths",18,44,51694,53649,53600,54018
"19","All.Deaths",19,45,52426,53223,53520,55530
"20","All.Deaths",20,46,53311,53726,54656,55760
"21","All.Deaths",21,47,52944,54047,54809,56067
"22","All.Deaths",22,48,54370,54651,55015,55303
"23","All.Deaths",23,49,54871,55487,55902,57096
"24","All.Deaths",24,50,55672,57245,56332,57425
"25","All.Deaths",25,51,56317,59379,56465,57168
"26","All.Deaths",26,52,57118,60967,55937,58201
"27","All.Deaths",27,1,55311,64632,58001,59576
"28","All.Deaths",28,2,55223,65735,57986,59919
"29","All.Deaths",29,3,51213,62834,57731,58400
"30","All.Deaths",30,4,48032,61014,57405,57855
"31","All.Deaths",31,5,48005,58918,57546,57385
"32","All.Deaths",32,6,48320,58573,57313,57996
"33","All.Deaths",33,7,47719,57263,56738,57339
"34","All.Deaths",34,8,47548,55187,56641,57336
"35","All.Deaths",35,9,45454,53819,56593,57630
"36","All.Deaths",36,10,44784,53801,56828,57184
"37","All.Deaths",37,11,43677,52598,55421,55658
"38","All.Deaths",38,12,43606,51375,54084,55790
"39","All.Deaths",39,13,41000,49138,53526,58824
"40","All.Deaths",40,14,39413,48459,52367,66580
"41","All.Deaths",41,15,38244,47274,50008,71879
"42","All.Deaths",42,16,34911,42868,47529,67059
"43","All.Deaths",43,17,30522,35709,42236,57680
"44","All.Deaths",44,18,NA,NA,31221,43033
"45","All.Deaths",45,19,NA,NA,NA,20681
"46","pi.deaths",1,27,2920,2839,2778,2874
"47","pi.deaths",2,28,2932,3048,2782,2781
"48","pi.deaths",3,29,2769,2759,2712,2684
"49","pi.deaths",4,30,2808,2849,2704,2768
"50","pi.deaths",5,31,2848,2689,2664,2740
"51","pi.deaths",6,32,2826,2725,2681,2646
"52","pi.deaths",7,33,2863,2693,2618,2610
"53","pi.deaths",8,34,2823,2758,2717,2603
"54","pi.deaths",9,35,2869,2715,2633,2625
"55","pi.deaths",10,36,2879,2835,2745,2591
"56","pi.deaths",11,37,3096,3023,2763,2530
"57","pi.deaths",12,38,3018,2951,2824,2724
"58","pi.deaths",13,39,2985,2904,2821,2790
"59","pi.deaths",14,40,3037,3029,2975,2726
"60","pi.deaths",15,41,3199,3017,2873,2788
"61","pi.deaths",16,42,3177,3182,3000,3001
"62","pi.deaths",17,43,3141,3299,3082,3021
"63","pi.deaths",18,44,3106,3244,3022,2946
"64","pi.deaths",19,45,3212,3215,3048,3097
"65","pi.deaths",20,46,3174,3359,3161,3137
"66","pi.deaths",21,47,3255,3241,3200,3052
"67","pi.deaths",22,48,3518,3561,3311,3052
"68","pi.deaths",23,49,3627,3630,3441,3413
"69","pi.deaths",24,50,3791,3907,3585,3574
"70","pi.deaths",25,51,3782,4328,3563,3487
"71","pi.deaths",26,52,4219,5058,3764,3711
"72","pi.deaths",27,1,4410,6184,4095,4469
"73","pi.deaths",28,2,4319,6938,4252,4541
"74","pi.deaths",29,3,4167,6836,4291,4429
"75","pi.deaths",30,4,3829,6455,4122,4298
"76","pi.deaths",31,5,3776,5963,4148,4167
"77","pi.deaths",32,6,3785,5647,4146,4199
"78","pi.deaths",33,7,3831,5465,4227,4254
"79","pi.deaths",34,8,3841,5007,4303,4144
"80","pi.deaths",35,9,3591,4445,4138,4328
"81","pi.deaths",36,10,3570,4263,4099,4392
"82","pi.deaths",37,11,3242,3969,4227,4368
"83","pi.deaths",38,12,3145,3799,4034,4790
"84","pi.deaths",39,13,2957,3598,3885,6188
"85","pi.deaths",40,14,2733,3497,3629,9581
"86","pi.deaths",41,15,2574,3183,3358,11310
"87","pi.deaths",42,16,2271,2744,3102,9963
"88","pi.deaths",43,17,1876,2152,2588,7626
"89","pi.deaths",44,18,NA,NA,1760,4496
"90","pi.deaths",45,19,NA,NA,NA,1674
