"","variable","epiwk","Week","2016-2017","2017-2018","2018-2019","2019-2020"
"1","All.Deaths",1,27,49664,50891,51658,52335
"2","All.Deaths",2,28,49624,49916,51173,51925
"3","All.Deaths",3,29,49263,50043,50589,51630
"4","All.Deaths",4,30,49677,49245,50255,51652
"5","All.Deaths",5,31,49482,49981,50616,51391
"6","All.Deaths",6,32,49724,50184,50938,51689
"7","All.Deaths",7,33,49783,50129,50279,50959
"8","All.Deaths",8,34,49492,49447,50435,50989
"9","All.Deaths",9,35,49557,50750,50582,51133
"10","All.Deaths",10,36,50063,50920,50277,51796
"11","All.Deaths",11,37,49901,51634,51060,51580
"12","All.Deaths",12,38,49851,51164,51557,51703
"13","All.Deaths",13,39,50227,51287,50939,52711
"14","All.Deaths",14,40,51387,52025,52328,52500
"15","All.Deaths",15,41,52108,51463,51808,52907
"16","All.Deaths",16,42,51413,52095,52950,54192
"17","All.Deaths",17,43,51822,52445,53736,53956
"18","All.Deaths",18,44,51701,53563,53611,54024
"19","All.Deaths",19,45,52445,53155,53518,55540
"20","All.Deaths",20,46,53332,53668,54653,55769
"21","All.Deaths",21,47,52964,54004,54806,56079
"22","All.Deaths",22,48,54417,54654,55020,55313
"23","All.Deaths",23,49,54945,55473,55908,57217
"24","All.Deaths",24,50,55798,57258,56334,57576
"25","All.Deaths",25,51,56470,59361,56474,57316
"26","All.Deaths",26,52,57261,60948,55949,58346
"27","All.Deaths",27,1,55851,64645,58052,59674
"28","All.Deaths",28,2,56046,65761,58091,59967
"29","All.Deaths",29,3,52232,62858,57897,58458
"30","All.Deaths",30,4,48752,61051,57505,57889
"31","All.Deaths",31,5,48364,58957,57593,57439
"32","All.Deaths",32,6,48734,58640,57422,58118
"33","All.Deaths",33,7,48022,57381,56850,57460
"34","All.Deaths",34,8,47927,55386,56719,57485
"35","All.Deaths",35,9,46104,54144,56721,57821
"36","All.Deaths",36,10,45612,54121,57052,57547
"37","All.Deaths",37,11,44138,52851,55802,56262
"38","All.Deaths",38,12,43902,51738,54551,56667
"39","All.Deaths",39,13,41527,50025,54330,60196
"40","All.Deaths",40,14,40331,49844,53593,68165
"41","All.Deaths",41,15,39769,49051,51206,73581
"42","All.Deaths",42,16,37595,46416,49097,69761
"43","All.Deaths",43,17,35769,42884,45745,63478
"44","All.Deaths",44,18,32044,35510,40277,55566
"45","All.Deaths",45,19,NA,NA,30380,44573
"46","All.Deaths",46,20,NA,NA,NA,20960
"47","pi.deaths",1,27,2918,2835,2778,2874
"48","pi.deaths",2,28,2931,3045,2785,2781
"49","pi.deaths",3,29,2770,2757,2712,2684
"50","pi.deaths",4,30,2808,2848,2709,2769
"51","pi.deaths",5,31,2848,2685,2666,2742
"52","pi.deaths",6,32,2826,2724,2681,2650
"53","pi.deaths",7,33,2865,2694,2620,2610
"54","pi.deaths",8,34,2826,2757,2717,2603
"55","pi.deaths",9,35,2870,2711,2633,2625
"56","pi.deaths",10,36,2883,2834,2748,2593
"57","pi.deaths",11,37,3097,3021,2764,2530
"58","pi.deaths",12,38,3020,2951,2825,2724
"59","pi.deaths",13,39,2985,2901,2822,2791
"60","pi.deaths",14,40,3036,3028,2975,2728
"61","pi.deaths",15,41,3199,3014,2874,2789
"62","pi.deaths",16,42,3180,3178,3000,3001
"63","pi.deaths",17,43,3141,3297,3086,3023
"64","pi.deaths",18,44,3108,3242,3022,2949
"65","pi.deaths",19,45,3216,3211,3048,3098
"66","pi.deaths",20,46,3178,3355,3160,3137
"67","pi.deaths",21,47,3258,3240,3201,3053
"68","pi.deaths",22,48,3524,3562,3317,3052
"69","pi.deaths",23,49,3627,3632,3448,3420
"70","pi.deaths",24,50,3801,3913,3594,3587
"71","pi.deaths",25,51,3796,4332,3571,3501
"72","pi.deaths",26,52,4231,5066,3765,3723
"73","pi.deaths",27,1,4443,6193,4098,4478
"74","pi.deaths",28,2,4387,6945,4262,4547
"75","pi.deaths",29,3,4261,6845,4307,4433
"76","pi.deaths",30,4,3893,6462,4133,4301
"77","pi.deaths",31,5,3808,5971,4154,4176
"78","pi.deaths",32,6,3826,5666,4155,4212
"79","pi.deaths",33,7,3858,5490,4248,4275
"80","pi.deaths",34,8,3877,5027,4319,4154
"81","pi.deaths",35,9,3654,4492,4153,4347
"82","pi.deaths",36,10,3641,4295,4114,4415
"83","pi.deaths",37,11,3279,3988,4262,4410
"84","pi.deaths",38,12,3166,3825,4074,4864
"85","pi.deaths",39,13,2988,3668,3951,6308
"86","pi.deaths",40,14,2808,3590,3720,9773
"87","pi.deaths",41,15,2700,3330,3433,11635
"88","pi.deaths",42,16,2465,3008,3205,10500
"89","pi.deaths",43,17,2237,2671,2829,8682
"90","pi.deaths",44,18,1942,2050,2336,6683
"91","pi.deaths",45,19,NA,NA,1695,4665
"92","pi.deaths",46,20,NA,NA,NA,1531
