"","state","start","end","order"
"1","AK",2020-01-11,2020-04-11,2
"2","AL",2020-04-25,2020-07-25,39
"3","AR",2020-05-09,2020-07-25,49
"4","AZ",2020-05-02,2020-07-25,47
"5","CA",2020-04-18,2020-07-25,36
"6","CO",2020-04-04,2020-07-04,14
"7","DC",2020-04-04,2020-06-20,15
"8","DE",2020-04-25,2020-07-25,40
"9","FL",2020-04-25,2020-07-25,41
"10","GA",2020-04-11,2020-07-25,25
"11","HI",2020-02-15,2020-07-04,6
"12","IA",2020-04-18,2020-06-13,37
"13","ID",2020-03-28,2020-07-25,10
"14","IL",2020-04-04,2020-06-20,16
"15","IN",2020-03-28,2020-06-27,11
"16","KS",2020-04-18,2020-07-25,38
"17","KY",2020-04-04,2020-07-18,17
"18","LA",2020-03-28,2020-06-27,12
"19","MA",2020-04-11,2020-05-30,26
"20","MD",2020-04-04,2020-06-20,18
"21","ME",2020-02-08,2020-07-25,5
"22","MI",2020-03-28,2020-06-06,13
"23","MN",2020-04-25,2020-06-27,42
"24","MO",2020-04-11,2020-07-18,27
"25","MS",2020-04-25,2020-07-25,43
"26","MT",2020-03-14,2020-07-25,9
"27","ND",2020-01-18,2020-05-02,3
"28","NE",2020-05-02,2020-07-25,48
"29","NH",2020-04-25,2020-07-18,44
"30","NJ",2020-04-04,2020-05-23,19
"31","NM",2020-05-09,2020-07-25,50
"32","NV",2020-04-11,2020-07-25,28
"33","NY",2020-04-04,2020-05-23,20
"34","NYC",2020-04-04,2020-05-09,21
"35","OH",2020-04-25,2020-07-25,45
"36","OK",2020-04-11,2020-07-25,29
"37","OR",2020-04-11,2020-07-25,30
"38","PA",2020-04-11,2020-06-06,31
"39","RI",2020-04-11,2020-06-27,32
"40","SC",2020-04-11,2020-07-25,33
"41","SD",2020-03-07,2020-07-11,8
"42","TN",2020-04-11,2020-07-25,34
"43","TX",2020-04-25,2020-07-25,46
"44","UT",2020-04-04,2020-07-25,22
"45","VA",2020-04-11,2020-07-18,35
"46","VT",2020-02-29,2020-06-20,7
"47","WA",2020-04-04,2020-07-25,23
"48","WI",2020-04-04,2020-07-18,24
"49","WV",2020-01-18,2020-04-18,4
"50","WY",2020-01-04,2020-06-13,1
